id,userName,userImage,date,url,score,title,text
gp:AOqpTOFtdv_t68v4quckDCAvj_mNgGRSmeGdOMFKtf0qMJDhiCw0AN1IRm_EakIxY2R33JaRFOT4yUw1u2M7zA,,https://lh5.googleusercontent.com/-lPrIW4DJqXs/AAAAAAAAAAI/AAAAAAAAAAA/3vd4SSgixNw/w96-h96-p/photo.jpg,"January 19, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRnRkdl90Njh2NHF1Y2tEQ0F2al9tTmdHUlNtZUdkT01GS3RmMHFNSkRoaUN3MEFOMUlSbV9FYWtJeFkyUjMzSmFSRk9UNHlVdzF1Mk03ekE,5,,original news channel
gp:AOqpTOEJ4hO6fsOZ1199oHTmJIzuBJfgcsNpXNL4PATvz16-AT64xhefPkPv2EXKydsAbC1YHVvBpEWRrMYhEw,Vishal Agarwal,https://lh3.googleusercontent.com/-ZUOcY1QD1uo/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQOe32YAFIvXdjg_i8jS_BGbWJhcRw/w96-h96-p/photo.jpg,"January 18, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRUo0aE82ZnNPWjExOTlvSFRtSkl6dUJKZmdjc05wWE5MNFBBVHZ6MTYtQVQ2NHhoZWZQa1B2MkVYS3lkc0FiQzFZSFZ2QnBFV1JyTVloRXc,1,,App has been crashing since the last update May have to delete it
gp:AOqpTOEhBSsRJZEYWfXc1N0uafXEmZmei-Xzcza_t2iKu4oLJCmpDtOTRTm6-8scP3uP_jC_hI25J5ZmG8fFjg,M Q,https://lh3.googleusercontent.com/a-/AAuE7mCuplI0pDWXwPe-XH8oDZAvJYdB53UDnv0E2DUZ=w96-h96-p,"January 18, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRWhCU3NSSlpFWVdmWGMxTjB1YWZYRW1abWVpLVh6Y3phX3QyaUt1NG9MSkNtcER0T1RSVG02LThzY1AzdVBfakNfaEkyNUo1Wm1HOGZGamc,3,,App is good overall but it loads a bit slow... please fix the slow loading issue as people today are very impatient and have a very short attention span.
gp:AOqpTOFspTwGLQQ2bf8weElOIgXZ7fnTC_KynzFEdoM1fVYDpbxqk-DF1qWi-ymsJQtrkyibwrjjLge69GcB0w,srijan puthran,https://lh3.googleusercontent.com/a-/AAuE7mDPKvwoi5WoqAC_8AEXT3orHf9hFhD_tebw2DEeTw=w96-h96-p,"January 17, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRnNwVHdHTFFRMmJmOHdlRWxPSWdYWjdmblRDX0t5bnpGRWRvTTFmVllEcGJ4cWstREYxcVdpLXltc0pRdHJreWlid3JqakxnZTY5R2NCMHc,1,,anti notional baised news media
gp:AOqpTOGMNAHsIevG5r4I8JZp0NioUeJ4zH9529M5-pWQdfb6rJK1abjfkRqOGxtwJuJQh0cm451yi9Lk-YXxew,,https://lh3.googleusercontent.com/a-/AAuE7mDtB8oFEHb8vJvctMuMGkJ9ivnJxd3dTYXkYoSh=w96-h96-p,"January 17, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPR01OQUhzSWV2RzVyNEk4SlpwME5pb1VlSjR6SDk1MjlNNS1wV1FkZmI2ckpLMWFiamZrUnFPR3h0d0p1SlFoMGNtNDUxeWk5TGstWVh4ZXc,3,,i used ndtv app because ravish kumar is there
gp:AOqpTOH6gRo-9saNFSi5_BERK3Bf6aqLwtO8iauduMcu96vQt0nAIrOmuYu8dDopgknZUiRCA5c6n7Or0a0-Jg,Gpsingh Grewal,https://lh3.googleusercontent.com/a-/AAuE7mCrICe8jUir60wpz_4ECApEF1sJMsbj7MS4XQj6=w96-h96-p,"January 17, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPSDZnUm8tOXNhTkZTaTVfQkVSSzNCZjZhcUx3dE84aWF1ZHVNY3U5NnZRdDBuQUlyT211WXU4ZERvcGdrblpVaVJDQTVjNm43T3IwYTAtSmc,5,,Whay ndtv not run on my phone
gp:AOqpTOEjbhdfVYiZXIw3IucZ3zgrHZxuzco13zW6JWWLfFDLFUu9t5xW_0DuluGXTyN7ztqaoSZsmukyapzVTw,sunil jakhar,https://lh3.googleusercontent.com/a-/AAuE7mCDV_VncdFwUAsZZpmNH0dnBhgyLxg1s0hcplcytg=w96-h96-p,"January 17, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRWpiaGRmVllpWlhJdzNJdWNaM3pnckhaeHV6Y28xM3pXNkpXV0xmRkRMRlV1OXQ1eFdfMER1bHVHWFR5Tjd6dHFhb1Nac211a3lhcHpWVHc,1,,No News ...only ads.
gp:AOqpTOEvp02T4bf6iGiaVhclHAetsxyTKSAFiRRw9zzSiKgbCN7bKN2EscwvPPOchj_l9b7ho4wAPhdnltXsrw,Vamsi Chitirala,https://lh3.googleusercontent.com/a-/AAuE7mAE4qPx_qSj9GzwVa9Hg3VJ4LqQR9hMx_HPLFYVCw=w96-h96-p,"January 15, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRXZwMDJUNGJmNmlHaWFWaGNsSEFldHN4eVRLU0FGaVJSdzl6elNpS2diQ043YktOMkVzY3d2UFBPY2hqX2w5YjdobzR3QVBoZG5sdFhzcnc,2,,"Very biased channel, but still presents news in a classic manner, which is what i like. Sometimes spreads false propaganda/fake news. Would have given 5 stars if not for the false propaganda."
gp:AOqpTOFC8KHbw6x2EHhwtlfNWfkQy2zrA-3QXYileRGwObslK_ZjWgSR1-y-g5opXMiTtjeSOye5oNNc4HagyA,Northern Lights,https://lh3.googleusercontent.com/a-/AAuE7mCqnYAgMOX85pMdFSk00Jj92lfmw-QMOJwDRwWS=w96-h96-p,"January 15, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPRkM4S0hidzZ4MkVIaHd0bGZOV2ZrUXkyenJBLTNRWFlpbGVSR3dPYnNsS19aaldnU1IxLXktZzVvcFhNaVR0amVTT3llNW9OTmM0SGFneUE,1,,Fake News Media
gp:AOqpTOGgCCd4xumQ953xaExwMhZWsI_7yWAOKFJtCmd362EhY5VoCfnLFVY8lJUkaXDsdSiXlhWfPp-dEZKETw,Reena Gautam,https://lh3.googleusercontent.com/-hN8FfkkLMi4/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQOSGei1X_t6wJ4VB62iDltJ4qhasQ/w96-h96-p/photo.jpg,"January 15, 2019",https://play.google.com/store/apps/details?id=com.july.ndtv&reviewId=Z3A6QU9xcFRPR2dDQ2Q0eHVtUTk1M3hhRXh3TWhaV3NJXzd5V0FPS0ZKdENtZDM2MkVoWTVWb0NmbkxGVlk4bEpVa2FYRHNkU2lYbGhXZlBwLWRFWktFVHc,4,,best news chanel
